ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
FIL 023,"Blank, Void, Scattering",n/a,7,2022,Comptroller
FIL 023,Paul Rodriguez,Conservative,1,2022,Comptroller
FIL 023,Paul Rodriguez,Republican,6,2022,Comptroller
FIL 023,Thomas P. DiNapoli,Working Families,1,2022,Comptroller
FIL 023,Thomas P. DiNapoli,Democratic,21,2022,Comptroller
FIL 024,YES,n/a,178,2002,Proposition
FIL 024,NO,n/a,22,2002,Proposition
FIL 024,"Blank, Void & Scattering",n/a,38,2002,Proposition
FIL 024," Blank, Void & Scattering                                                                     ",n/a,14,2005,Mayor
FIL 024,Byron W. Brown,Democrat,202,2005,Mayor
FIL 024,Byron W. Brown                                                         ,Working Families,6,2005,Mayor
FIL 024,Charles J. Flynn,Independence,14,2005,Mayor
FIL 024,Judith S. Einach                                             ,Green,32,2005,Mayor
FIL 024,Kevin J. Helfer,Republican/Strong Leadership,164,2005,Mayor
FIL 024,Kevin J. Helfer,Conservative,22,2005,Mayor
FIL 024,Barack Obama/Joe Biden,Democratic,351,2008,President
FIL 024,Barack Obama/Joe Biden,Working Families,7,2008,President
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,13,2008,President
FIL 024,Bob Barr/Wayne A. Root,Libertarian,3,2008,President
FIL 024,Cynthia McKinney/Rosa Clemente,Green,1,2008,President
FIL 024,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
FIL 024,John McCain/Sarah Palin,Conservative,4,2008,President
FIL 024,John McCain/Sarah Palin,Independence,10,2008,President
FIL 024,John McCain/Sarah Palin,Republican,152,2008,President
FIL 024,"President, Write In",n/a,0,2008,President
FIL 024,Ralph Nader/Matt Gonzalez,Populist,7,2008,President
FIL 024,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
FIL 024," Blank, Void & Scattering                                                                     ",n/a,146,2009,Mayor
FIL 024,Byron W. Brown,Democratic,83,2009,Mayor
FIL 024,Byron W. Brown,Independence,3,2009,Mayor
FIL 024,Byron W. Brown                                                                 ,Working Families,5,2009,Mayor
FIL 024,Byron W. Brown,Conservative,5,2009,Mayor
FIL 024,Michael P. Kearns                                                      ,Write-In,5,2009,Mayor
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,62,2011,Council
FIL 024,David A. Franczyk,Conservative,22,2011,Council
FIL 024,David A. Franczyk,Democratic,235,2011,Council
FIL 024,David A. Franczyk,Republican,55,2011,Council
FIL 024,David A. Franczyk,Working Families,16,2011,Council
FIL 024,Samuel A. Herbert,Write-In,2,2011,Council
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,12,2011,County Executive
FIL 024,Chris Collins,Conservative,17,2011,County Executive
FIL 024,Chris Collins,Independence,10,2011,County Executive
FIL 024,Chris Collins,Republican,84,2011,County Executive
FIL 024,Mark C. Poloncarz,Democratic,248,2011,County Executive
FIL 024,Mark C. Poloncarz,Working Families,21,2011,County Executive
FIL 024,Barack Obama/Joe Biden,Democratic,149,2012,President
FIL 024,Barack Obama/Joe Biden,Working Families,2,2012,President
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,0,2012,President
FIL 024,Gary Johnson/James P. Gray,Libertarian,0,2012,President
FIL 024,Jill Stein/Cheri Honkala,Green,2,2012,President
FIL 024,Mitt Romney/Paul Ryan,Conservative,1,2012,President
FIL 024,Mitt Romney/Paul Ryan,Republican,12,2012,President
FIL 024,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
FIL 024,"President, Write In",n/a,0,2012,President
FIL 024,Virgil Goode/Jim Clymer,Constitution,0,2012,President
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,1,2013,Mayor
FIL 024,Byron W. Brown,Conservative,2,2013,Mayor
FIL 024,Byron W. Brown,Democratic,39,2013,Mayor
FIL 024,Byron W. Brown,Independence,0,2013,Mayor
FIL 024,Byron W. Brown,Working Families,1,2013,Mayor
FIL 024,Sergio R. Rodriguez,Progressive,2,2013,Mayor
FIL 024,Sergio R. Rodriguez,Republican,10,2013,Mayor
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,2,2015,County Executive
FIL 024,Eric Jones,Green,1,2015,County Executive
FIL 024,Mark C. Poloncarz,Democratic,22,2015,County Executive
FIL 024,Mark C. Poloncarz,Working Families,2,2015,County Executive
FIL 024,Mark C. Poloncarz,Women's Equality,0,2015,County Executive
FIL 024,Raymond W. Walter,Republican,2,2015,County Executive
FIL 024,Raymond W. Walter,Independence,0,2015,County Executive
FIL 024,Raymond W. Walter,Reform,0,2015,County Executive
FIL 024,Raymond W. Walter,Conservative,0,2015,County Executive
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,3,2015,Council
FIL 024,David A. Franczyk,Democratic,19,2015,Council
FIL 024,David A. Franczyk,Republican,3,2015,Council
FIL 024,David A. Franczyk,Working Families,1,2015,Council
FIL 024,David P. Howard,Independence,3,2015,Council
FIL 024,"Blank, Void, & Scattering",n/a,3,2016,President
FIL 024,Donald J Trump/ Michael R Pence,Republican,14,2016,President
FIL 024,Donald J Trump/ Michael R Pence,Conservative,2,2016,President
FIL 024,Gary Johnson/ Bill Weld,Independence,0,2016,President
FIL 024,Gary Johnson/ Bill Weld,Libertarian,0,2016,President
FIL 024,Hillary Clinton/ Tim Kaine,Women's Equality,2,2016,President
FIL 024,Hillary Clinton/ Tim Kaine,Working Families,1,2016,President
FIL 024,Hillary Clinton/ Tim Kaine,Democratic,128,2016,President
FIL 024,Jill Stein/ Ajamu Baraka,Green,1,2016,President
FIL 024,"President, Write In",n/a,0,2016,President
FIL 024,Anita L Howard,Conservative,1,2017,Mayor
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,1,2017,Mayor
FIL 024,Byron W Brown,Democratic,38,2017,Mayor
FIL 024,Byron W Brown,Independence,0,2017,Mayor
FIL 024,Byron W Brown,Women's Equality,0,2017,Mayor
FIL 024,Byron W Brown,Working Families,2,2017,Mayor
FIL 024,Mark J F Schroeder,Reform,9,2017,Mayor
FIL 024,Taniqua Simmons,Write-In,2,2017,Mayor
FIL 024,Terrence A Robinson,Green,0,2017,Mayor
FIL 024,"Blank, Void, & Scattering",n/a,6,2018,Senate
FIL 024,Chele Chiavacci Farley,Conservative,2,2018,Senate
FIL 024,Chele Chiavacci Farley,Reform,1,2018,Senate
FIL 024,Chele Chiavacci Farley,Republican,7,2018,Senate
FIL 024,Kirsten E Gillibrand,Democratic,67,2018,Senate
FIL 024,Kirsten E Gillibrand,Independence,1,2018,Senate
FIL 024,Kirsten E Gillibrand,Women's Equality,1,2018,Senate
FIL 024,Kirsten E Gillibrand,Working Families,2,2018,Senate
FIL 024,Andrew M Cuomo/ Kathy C Hochul,Democratic,69,2018,Governor
FIL 024,Andrew M Cuomo/ Kathy C Hochul,Independence,1,2018,Governor
FIL 024,Andrew M Cuomo/ Kathy C Hochul,Working Families,2,2018,Governor
FIL 024,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,0,2018,Governor
FIL 024,"Blank, Void, & Scattering",n/a,2,2018,Governor
FIL 024,Howie Hawkins/ Jia Lee,Green,0,2018,Governor
FIL 024,Larry Sharpe/ Andrew C Hollister,Libertarian,1,2018,Governor
FIL 024,Marc Molinaro/ Julie Killian,Conservative,0,2018,Governor
FIL 024,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
FIL 024,Marc Molinaro/ Julie Killian,Republican,9,2018,Governor
FIL 024,Stephanie A Miner/ Michael J Volpe,SAM,3,2018,Governor
FIL 024,"Blank, Void, & Scattering",n/a,13,2019,Legislature
FIL 024,Howard J. Johnson Jr.,Democratic,34,2019,Legislature
FIL 024,Katrinna Martin,Working Families,15,2019,Legislature
FIL 024,Tara Craig,Write-In,0,2019,Legislature
FIL 024,"Blank, Void, & Scattering",n/a,15,2019,County Executive
FIL 024,Lynne Dixon,Conservative,1,2019,County Executive
FIL 024,Lynne Dixon,Independence,1,2019,County Executive
FIL 024,Lynne Dixon,Republican,7,2019,County Executive
FIL 024,Lynne Dixon,SAM,0,2019,County Executive
FIL 024,Mark C. Poloncarz,Democratic,35,2019,County Executive
FIL 024,Mark C. Poloncarz,Working Families,3,2019,County Executive
FIL 024,"Blank, Void, & Scattering",n/a,6,2019,Council
FIL 024,David P. Howard,Choice,2,2019,Council
FIL 024,Mitch Nowakowski,Democratic,18,2019,Council
FIL 024,Mitch Nowakowski,Independence,4,2019,Council
FIL 024,Mohammed Jahangir Alam,United Fillmore District,25,2019,Council
FIL 024,Raymond Brinson,Conservative,7,2019,Council
FIL 024,Sam Herbert,Write-In,0,2019,Council
FIL 024,Barbara Miller-Williams,Democratic,35,2019,Comptroller
FIL 024,Barbara Miller-Williams,Independence,0,2019,Comptroller
FIL 024,Barbara Miller-Williams,Working Families,7,2019,Comptroller
FIL 024,"Blank, Void, & Scattering",n/a,12,2019,Comptroller
FIL 024,Ross M. Kostecky,Republican,8,2019,Comptroller
FIL 024,"Blank, Void & Scattering                                                                     ",n/a,3,2020,President
FIL 024,Brock Pierce/Karla Ballard,Independence,1,2020,President
FIL 024,Donald J. Trump/Michael R. Pence,Conservative,2,2020,President
FIL 024,Donald J. Trump/Michael R. Pence,Republican,23,2020,President
FIL 024,Howie Hawkins/Angela Nicole Walker,Green,0,2020,President
FIL 024,Jo Jorgensen/Jeremy Cohen,Libertarian,0,2020,President
FIL 024,Joseph R. Biden/Kamala D. Harris,Democratic,144,2020,President
FIL 024,Joseph R. Biden/Kamala D. Harris,Working Families,2,2020,President
FIL 024,"President, Write in",n/a,0,2020,President
FIL 024,"Blank, Void, Scattering",n/a,13,2020,Congress
FIL 024,Brian Higgins,SAM,0,2020,Congress
FIL 024,Brian Higgins,Working Families,13,2020,Congress
FIL 024,Brian Higgins,Democratic,128,2020,Congress
FIL 024,Michael P. Raleigh,Green,4,2020,Congress
FIL 024,Ricky T. Donovan Sr.,Republican,17,2020,Congress
FIL 024,"Blank, Void, Scattering",n/a,17,2021,Sheriff
FIL 024,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
FIL 024,John C. Garcia,Republican,12,2021,Sheriff
FIL 024,Karen L. Healy-Case,Conservative,5,2021,Sheriff
FIL 024,Kimberly Beaty,Democratic,52,2021,Sheriff
FIL 024,Kimberly Beaty,Justice & Peace,2,2021,Sheriff
FIL 024,Theodore C. DiNoto,Public Service,0,2021,Sheriff
FIL 024,Ben Carlisle,Write-In,0,2021,Mayor
FIL 024,"Blank, Void, and Scattering",n/a,5,2021,Mayor
FIL 024,Byron Brown,Write-In,36,2021,Mayor
FIL 024,India B. Walton,Democratic,47,2021,Mayor
FIL 024,Jaz Miles,Write-In,0,2021,Mayor
FIL 024,William O'Dell,Write-In,0,2021,Mayor
FIL 024,"Blank, Void, Scattering",n/a,21,2021,Comptroller
FIL 024,Duane J. Whitmer,Libertarian,1,2021,Comptroller
FIL 024,Kevin R. Hardwick,Democratic,48,2021,Comptroller
FIL 024,Kevin R. Hardwick,Working Families/Integrity,3,2021,Comptroller
FIL 024,Lynne Dixon,Republican,11,2021,Comptroller
FIL 024,Lynne Dixon,Conservative,4,2021,Comptroller
FIL 024,"Blank, Void, Scattering",n/a,3,2022,Senate
FIL 024,Charles E. Schumer,Working Families,4,2022,Senate
FIL 024,Charles E. Schumer,Democratic,40,2022,Senate
FIL 024,Diane Sare,LaRouche,2,2022,Senate
FIL 024,Joe Pinion,Conservative,1,2022,Senate
FIL 024,Joe Pinion,Republican,9,2022,Senate
FIL 024,"Blank, Void, Scattering",n/a,4,2022,Governor
FIL 024,Kathy C. Hochul / Antonio Delgado,Democratic,43,2022,Governor
FIL 024,Kathy C. Hochul / Antonio Delgado,Working Families,3,2022,Governor
FIL 024,Lee Zeldin / Alison Esposito,Conservative,1,2022,Governor
FIL 024,Lee Zeldin / Alison Esposito,Republican,8,2022,Governor
FIL 024,"Blank, Void, Scattering",n/a,2,2022,Congress
FIL 024,Brian Higgins,Working Families,4,2022,Congress
FIL 024,Brian Higgins,Democratic,46,2022,Congress
FIL 024,Steven L. Sams II,Conservative,1,2022,Congress
FIL 024,Steven L. Sams II,Republican,6,2022,Congress
FIL 024,"Blank, Void, Scattering",n/a,8,2022,Comptroller
FIL 024,Paul Rodriguez,Conservative,0,2022,Comptroller
FIL 024,Paul Rodriguez,Republican,10,2022,Comptroller
FIL 024,Thomas P. DiNapoli,Working Families,3,2022,Comptroller
FIL 024,Thomas P. DiNapoli,Democratic,38,2022,Comptroller
FIL 025,YES,n/a,29,2002,Proposition
FIL 025,NO,n/a,100,2002,Proposition
FIL 025,"Blank, Void & Scattering",n/a,40,2002,Proposition
FIL 025," Blank, Void & Scattering                                                                     ",n/a,3,2005,Mayor
FIL 025,Byron W. Brown,Democrat,153,2005,Mayor
FIL 025,Byron W. Brown                                                         ,Working Families,6,2005,Mayor
FIL 025,Charles J. Flynn,Independence,5,2005,Mayor
FIL 025,Judith S. Einach                                             ,Green,0,2005,Mayor
FIL 025,Kevin J. Helfer,Republican/Strong Leadership,4,2005,Mayor
FIL 025,Kevin J. Helfer,Conservative,2,2005,Mayor
FIL 025,Barack Obama/Joe Biden,Democratic,215,2008,President
FIL 025,Barack Obama/Joe Biden,Working Families,5,2008,President
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,5,2008,President
FIL 025,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
FIL 025,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
FIL 025,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
FIL 025,John McCain/Sarah Palin,Conservative,1,2008,President
FIL 025,John McCain/Sarah Palin,Independence,1,2008,President
FIL 025,John McCain/Sarah Palin,Republican,10,2008,President
FIL 025,"President, Write In",n/a,0,2008,President
FIL 025,Ralph Nader/Matt Gonzalez,Populist,1,2008,President
FIL 025,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
FIL 025," Blank, Void & Scattering                                                                     ",n/a,5,2009,Mayor
FIL 025,Byron W. Brown,Democratic,46,2009,Mayor
FIL 025,Byron W. Brown,Independence,2,2009,Mayor
FIL 025,Byron W. Brown                                                                 ,Working Families,0,2009,Mayor
FIL 025,Byron W. Brown,Conservative,3,2009,Mayor
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,22,2011,Council
FIL 025,David A. Franczyk,Conservative,0,2011,Council
FIL 025,David A. Franczyk,Democratic,46,2011,Council
FIL 025,David A. Franczyk,Republican,1,2011,Council
FIL 025,David A. Franczyk,Working Families,0,2011,Council
FIL 025,Samuel A. Herbert,Write-In,1,2011,Council
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,9,2011,County Executive
FIL 025,Chris Collins,Conservative,2,2011,County Executive
FIL 025,Chris Collins,Independence,1,2011,County Executive
FIL 025,Chris Collins,Republican,4,2011,County Executive
FIL 025,Mark C. Poloncarz,Democratic,53,2011,County Executive
FIL 025,Mark C. Poloncarz,Working Families,1,2011,County Executive
FIL 025,Barack Obama/Joe Biden,Democratic,277,2012,President
FIL 025,Barack Obama/Joe Biden,Working Families,3,2012,President
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,0,2012,President
FIL 025,Gary Johnson/James P. Gray,Libertarian,0,2012,President
FIL 025,Jill Stein/Cheri Honkala,Green,4,2012,President
FIL 025,Mitt Romney/Paul Ryan,Conservative,5,2012,President
FIL 025,Mitt Romney/Paul Ryan,Republican,52,2012,President
FIL 025,Peta Lindsay/Yari Osorio,Socialism and Lib,1,2012,President
FIL 025,"President, Write In",n/a,0,2012,President
FIL 025,Virgil Goode/Jim Clymer,Constitution,0,2012,President
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,2,2013,Mayor
FIL 025,Byron W. Brown,Conservative,4,2013,Mayor
FIL 025,Byron W. Brown,Democratic,73,2013,Mayor
FIL 025,Byron W. Brown,Independence,3,2013,Mayor
FIL 025,Byron W. Brown,Working Families,4,2013,Mayor
FIL 025,Sergio R. Rodriguez,Progressive,3,2013,Mayor
FIL 025,Sergio R. Rodriguez,Republican,25,2013,Mayor
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,4,2015,County Executive
FIL 025,Eric Jones,Green,3,2015,County Executive
FIL 025,Mark C. Poloncarz,Democratic,50,2015,County Executive
FIL 025,Mark C. Poloncarz,Working Families,6,2015,County Executive
FIL 025,Mark C. Poloncarz,Women's Equality,0,2015,County Executive
FIL 025,Raymond W. Walter,Republican,7,2015,County Executive
FIL 025,Raymond W. Walter,Independence,2,2015,County Executive
FIL 025,Raymond W. Walter,Reform,1,2015,County Executive
FIL 025,Raymond W. Walter,Conservative,4,2015,County Executive
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,4,2015,Council
FIL 025,David A. Franczyk,Democratic,39,2015,Council
FIL 025,David A. Franczyk,Republican,15,2015,Council
FIL 025,David A. Franczyk,Working Families,3,2015,Council
FIL 025,David P. Howard,Independence,16,2015,Council
FIL 025,"Blank, Void, & Scattering",n/a,0,2016,President
FIL 025,Donald J Trump/ Michael R Pence,Republican,51,2016,President
FIL 025,Donald J Trump/ Michael R Pence,Conservative,5,2016,President
FIL 025,Gary Johnson/ Bill Weld,Independence,3,2016,President
FIL 025,Gary Johnson/ Bill Weld,Libertarian,2,2016,President
FIL 025,Hillary Clinton/ Tim Kaine,Women's Equality,2,2016,President
FIL 025,Hillary Clinton/ Tim Kaine,Working Families,5,2016,President
FIL 025,Hillary Clinton/ Tim Kaine,Democratic,192,2016,President
FIL 025,Jill Stein/ Ajamu Baraka,Green,3,2016,President
FIL 025,"President, Write In",n/a,0,2016,President
FIL 025,Anita L Howard,Conservative,5,2017,Mayor
FIL 025,"Blank, Void & Scattering                                                                     ",n/a,2,2017,Mayor
FIL 025,Byron W Brown,Democratic,50,2017,Mayor
FIL 025,Byron W Brown,Independence,1,2017,Mayor
FIL 025,Byron W Brown,Women's Equality,0,2017,Mayor
FIL 025,Byron W Brown,Working Families,1,2017,Mayor
FIL 025,Mark J F Schroeder,Reform,25,2017,Mayor
FIL 025,Taniqua Simmons,Write-In,0,2017,Mayor
FIL 025,Terrence A Robinson,Green,4,2017,Mayor
FIL 025,"Blank, Void, & Scattering",n/a,4,2018,Senate
FIL 025,Chele Chiavacci Farley,Conservative,3,2018,Senate
